slug	title
adbusters	Adbusters
anthologies	Anthologies
arthur	Arthur
atlantic	The Atlantic
cnn	CNN
daily_beast	The Daily Beast
digital_trends	Digital Trends
discover	Discover
economic_times	Economic Times
edutopia	Edutopia
esquire	Esquire
feature	The Feature
forward	The Forward
futurist	The Futurist
geographical	Geographical
good	GOOD
guardian	The Guardian
h_plus	H+
hemispheres_magazine	Hemispheres Magazine
huffington_post	Huffington Post
jewish_week	The Jewish Week
london_times	London Times
los_angeles_times	Los Angeles Times
mashable	Mashable
medium	Medium
nation	The Nation
new_york_times	New York Times
nieman_reports	Nieman Reports
nokias_the_feature	Nokia's The Feature
ny_press	NY Press
nyt_syndicate_guardian_of_london	The New York Times Syndicate/Guardian of London
one_plus	One+
paper	Paper
politico	Politico
publishers_weekly	Publisher's Weekly
red_herring	Red Herring
school_library_journal	School Library Journal
seed	SEED
shareable	Shareable
sportswear_international	Sportswear International
swing	Swing
this	This
time	Time
uncategorized	Uncategorized
upside	Upside
wall_street_journal	Wall Street Journal
washington_times	Washington Times
yahoo_internet_life	Yahoo! Internet Life
